trial,contrast,angle,stimleft,respleft,correct,rt
142,0.0800,-5.00,0,0,1,0.3151
143,0.0600,5.00,1,1,1,0.2140
144,0.0600,5.00,1,1,1,0.1952
145,0.1600,5.00,1,1,1,0.1547
146,0.0200,5.00,1,1,1,0.1289
147,0.0200,5.00,1,1,1,0.1540
148,0.1600,-5.00,0,0,1,0.2671
149,0.0200,5.00,1,0,0,0.2501
150,0.0600,-5.00,0,1,0,0.2156
151,0.0200,5.00,1,0,0,0.1993
152,0.0200,-5.00,0,1,0,0.1909
153,0.1600,5.00,1,1,1,0.2127
154,0.0800,-5.00,0,1,0,0.1889
155,0.0400,5.00,1,0,0,0.2312
156,0.0400,5.00,1,1,1,0.1678
157,0.1600,-5.00,0,0,1,0.1755
158,0.1600,5.00,1,1,1,0.1666
159,0.0200,-5.00,0,0,1,0.2100
160,0.1600,-5.00,0,0,1,0.2097
161,0.0400,5.00,1,0,0,0.2576
162,0.0400,5.00,1,1,1,0.2488
163,0.0400,5.00,1,1,1,0.2095
164,0.1600,-5.00,0,0,1,0.2290
165,0.0400,5.00,1,0,0,0.2362
166,0.1600,-5.00,0,0,1,0.2601
167,0.1600,-5.00,0,0,1,0.2212
168,0.0200,-5.00,0,0,1,0.2124
169,0.1600,-5.00,0,0,1,0.2353
170,0.1600,-5.00,0,0,1,0.2593
171,0.0600,5.00,1,0,0,0.2199
172,0.0200,5.00,1,0,0,0.2052
173,0.0400,-5.00,0,1,0,0.2106
174,0.0200,-5.00,0,0,1,0.2226
175,0.0600,5.00,1,0,0,0.2070
176,0.0600,5.00,1,1,1,0.2451
177,0.1600,-5.00,0,0,1,0.1684
178,0.1600,5.00,1,0,0,0.2737
179,0.0800,5.00,1,1,1,0.1940
180,0.0600,-5.00,0,0,1,0.2283
181,0.0600,5.00,1,0,0,0.2654
182,0.0800,5.00,1,0,0,0.2825
183,0.1600,5.00,1,0,0,0.1928
184,0.0400,-5.00,0,1,0,0.2330
185,0.0600,5.00,1,1,1,0.1611
186,0.0400,-5.00,0,0,1,0.2158
187,0.1600,-5.00,0,0,1,2.0520
188,0.1600,5.00,1,1,1,0.2006
189,0.0600,5.00,1,1,1,0.1887
190,0.0200,-5.00,0,1,0,0.1409
191,0.0600,5.00,1,1,1,0.1830
192,0.1600,5.00,1,1,1,0.2394
193,0.0400,-5.00,0,0,1,0.2219
194,0.0800,-5.00,0,0,1,0.2664
195,0.0600,5.00,1,1,1,0.1951
196,0.0400,5.00,1,1,1,0.1992
197,0.0200,5.00,1,1,1,0.2015
198,0.0800,-5.00,0,1,0,0.2029
199,0.0200,5.00,1,0,0,0.1636
200,0.0800,5.00,1,1,1,0.2021
