
%
% subject = 'ak'; condition = 'bright'; version='physical';
% time = '04-Apr-2022 10:33:53';
%
% trial, refk, refr, refi, testrk, testr, testik, testi, refleft, choosetest, stimt, rt, totaltime
%

 55, 3, 0.4500, 147.0000,  5, 0.4167,  6, 147.0000, 1, 1,  0.179,  0.419,  145.358
 56, 1, 0.1500, 251.0000, 11, 0.2204,  5, 232.4074, 0, 1,  1.062,  1.153,  148.593
 57, 2, 0.3000, 192.0000,  6, 0.3000,  4, 164.6091, 1, 0,  0.675,  0.266,  150.555
 58, 1, 0.1500, 251.0000,  3, 0.1191,  6, 251.0000, 0, 1,  1.010,  0.699,  153.289
 59, 3, 0.4500, 147.0000,  9, 0.5669,  9, 185.1777, 0, 1,  1.975,  0.229,  156.523
 60, 2, 0.3000, 192.0000, 10, 0.4081,  7, 207.3600, 1, 1,  0.542,  0.215,  158.305
 61, 2, 0.3000, 192.0000,  6, 0.3000,  2, 141.1257, 1, 0,  0.069,  0.342,  159.732
 62, 1, 0.1500, 251.0000, 10, 0.2041,  3, 199.2519, 0, 0,  0.642,  0.421,  161.811
 63, 3, 0.4500, 147.0000,  6, 0.4500,  3, 116.6933, 0, 0,  1.208,  1.933,  165.974
 64, 1, 0.1500, 251.0000,  8, 0.1750,  4, 215.1920, 1, 0,  1.198,  0.905,  169.096
 65, 2, 0.3000, 192.0000,  2, 0.2205,  9, 241.8647, 0, 1,  0.428,  0.692,  171.232
 66, 2, 0.3000, 192.0000,  3, 0.2381,  2, 141.1257, 1, 0,  0.046,  1.064,  173.355
 67, 2, 0.3000, 192.0000,  7, 0.3240,  5, 177.7778, 0, 0,  0.058,  1.742,  176.182
 68, 2, 0.3000, 192.0000,  5, 0.2778, 11, 282.1110, 1, 1,  0.044,  0.556,  177.847
 69, 3, 0.4500, 147.0000,  3, 0.3572,  4, 126.0288, 1, 0,  0.180,  0.590,  179.630
 70, 3, 0.4500, 147.0000, 11, 0.6612, 10, 199.9919, 0, 1,  0.246,  0.428,  181.320
 71, 3, 0.4500, 147.0000,  9, 0.5669,  3, 116.6933, 0, 0,  0.055,  0.136,  182.526
 72, 1, 0.1500, 251.0000,  9, 0.1890,  3, 199.2519, 0, 0,  1.196,  0.506,  185.246
 73, 1, 0.1500, 251.0000,  5, 0.1389,  4, 215.1920, 0, 0,  0.130,  1.498,  187.894
 74, 2, 0.3000, 192.0000,  1, 0.2042,  3, 152.4158, 0, 0,  0.632,  1.639,  191.184
 75, 3, 0.4500, 147.0000, 10, 0.6122, 10, 199.9919, 0, 1,  1.182,  0.837,  194.228
 76, 3, 0.4500, 147.0000,  8, 0.5249,  3, 116.6933, 0, 0,  0.048,  0.173,  195.468
 77, 3, 0.4500, 147.0000,  4, 0.3858,  6, 147.0000, 0, 1,  0.098,  0.167,  196.758
 78, 1, 0.1500, 251.0000,  3, 0.1191,  9, 316.1877, 1, 1,  1.565,  2.489,  201.830
 79, 2, 0.3000, 192.0000,  5, 0.2778, 10, 261.2139, 1, 1,  0.941,  0.605,  204.396
 80, 3, 0.4500, 147.0000,  8, 0.5249,  5, 136.1111, 0, 1,  0.382,  2.859,  208.651
 81, 1, 0.1500, 251.0000,  7, 0.1620,  1, 170.8264, 1, 0,  1.419,  0.254,  211.345
 82, 3, 0.4500, 147.0000,  9, 0.5669,  4, 126.0288, 0, 0,  1.568,  1.110,  215.052
 83, 2, 0.3000, 192.0000, 10, 0.4081,  3, 152.4158, 0, 0,  0.163,  0.843,  217.084
 84, 2, 0.3000, 192.0000,  5, 0.2778,  6, 192.0000, 1, 0,  0.033,  0.325,  218.467
 85, 2, 0.3000, 192.0000,  1, 0.2042, 11, 282.1110, 0, 1,  0.111,  0.409,  220.001
 86, 2, 0.3000, 192.0000,  5, 0.2778,  4, 164.6091, 1, 0,  0.124,  0.824,  221.966
 87, 3, 0.4500, 147.0000,  9, 0.5669,  8, 171.4608, 1, 1,  0.606,  0.324,  223.919
 88, 1, 0.1500, 251.0000,  1, 0.1021,  3, 199.2519, 1, 0,  2.256,  0.240,  227.435
 89, 2, 0.3000, 192.0000,  4, 0.2572,  2, 141.1257, 1, 0,  1.037,  0.274,  229.769
 90, 3, 0.4500, 147.0000, 10, 0.6122,  7, 158.7600, 1, 1,  0.855,  0.396,  232.039
 91, 1, 0.1500, 251.0000, 10, 0.2041,  8, 292.7664, 1, 1,  1.286,  0.913,  235.257
 92, 3, 0.4500, 147.0000,  1, 0.3063, 10, 199.9919, 1, 1,  1.216,  0.228,  237.720
 93, 3, 0.4500, 147.0000,  7, 0.4860,  3, 116.6933, 1, 0,  0.199,  0.296,  239.238
 94, 1, 0.1500, 251.0000,  2, 0.1103,  2, 184.4925, 1, 0,  1.833,  0.572,  242.669
 95, 1, 0.1500, 251.0000,  7, 0.1620,  5, 232.4074, 0, 0,  0.100,  0.594,  244.386
 96, 2, 0.3000, 192.0000,  5, 0.2778,  8, 223.9488, 1, 1,  0.533,  0.730,  246.673
 97, 3, 0.4500, 147.0000, 11, 0.6612, 11, 215.9912, 0, 1,  0.803,  0.225,  248.719
 98, 3, 0.4500, 147.0000,  9, 0.5669,  6, 147.0000, 1, 1,  0.257,  0.267,  250.259
 99, 2, 0.3000, 192.0000,  2, 0.2205,  1, 130.6720, 0, 0,  0.572,  0.623,  252.466
100, 1, 0.1500, 251.0000,  1, 0.1021, 11, 368.8013, 0, 1,  0.856,  0.308,  254.651
101, 1, 0.1500, 251.0000,  9, 0.1890,  7, 271.0800, 1, 1,  0.221,  0.110,  256.003
102, 1, 0.1500, 251.0000,  1, 0.1021,  1, 170.8264, 0, 0,  0.222,  0.587,  257.830
103, 2, 0.3000, 192.0000,  2, 0.2205,  4, 164.6091, 1, 0,  1.237,  0.372,  260.466
104, 3, 0.4500, 147.0000,  2, 0.3308, 10, 199.9919, 0, 1,  0.555,  0.462,  262.505
105, 3, 0.4500, 147.0000,  2, 0.3308,  6, 147.0000, 1, 0,  0.071,  6.390,  269.983
106, 1, 0.1500, 251.0000,  1, 0.1021, 10, 341.4827, 1, 1,  1.442,  0.417,  272.861
107, 3, 0.4500, 147.0000, 10, 0.6122,  3, 116.6933, 1, 0,  2.308,  0.223,  276.416
108, 1, 0.1500, 251.0000,  2, 0.1103,  6, 251.0000, 1, 0,  2.258,  5.963,  285.657
109, 2, 0.3000, 192.0000, 11, 0.4408,  7, 207.3600, 0, 1,  1.223,  0.088,  287.985
110, 3, 0.4500, 147.0000,  2, 0.3308,  7, 158.7600, 1, 0,  0.041,  5.987,  295.031
111, 1, 0.1500, 251.0000,  5, 0.1389,  9, 316.1877, 0, 1,  1.344,  0.002,  297.396
112, 2, 0.3000, 192.0000,  4, 0.2572,  1, 130.6720, 1, 0,  0.772,  0.240,  299.437
113, 2, 0.3000, 192.0000,  2, 0.2205,  8, 223.9488, 0, 1,  0.040,  0.721,  302.012
114, 1, 0.1500, 251.0000,  8, 0.1750,  7, 271.0800, 1, 1,  0.410,  2.229,  305.673
115, 2, 0.3000, 192.0000,  8, 0.3499, 11, 282.1110, 1, 1,  0.654,  1.764,  309.108
116, 3, 0.4500, 147.0000, 10, 0.6122,  2, 108.0494, 1, 0,  0.465,  0.089,  310.683
117, 1, 0.1500, 251.0000, 11, 0.2204,  3, 199.2519, 1, 0,  1.194,  0.342,  313.236
118, 2, 0.3000, 192.0000,  2, 0.2205,  6, 192.0000, 1, 1,  0.643,  0.678,  315.573
119, 1, 0.1500, 251.0000,  3, 0.1191, 11, 368.8013, 0, 1,  0.994,  0.243,  317.838
120, 1, 0.1500, 251.0000,  8, 0.1750,  9, 316.1877, 0, 1,  0.224,  0.238,  319.334
121, 3, 0.4500, 147.0000,  5, 0.4167, 11, 215.9912, 0, 1,  1.195,  0.002,  321.547
122, 2, 0.3000, 192.0000,  9, 0.3779,  8, 223.9488, 1, 1,  0.074,  0.154,  322.799
123, 2, 0.3000, 192.0000,  1, 0.2042,  4, 164.6091, 1, 0,  0.475,  0.306,  324.601
124, 3, 0.4500, 147.0000,  2, 0.3308,  1, 100.0457, 1, 0,  0.278,  0.422,  326.317
125, 1, 0.1500, 251.0000,  9, 0.1890,  1, 170.8264, 1, 0,  1.209,  0.362,  328.908
126, 3, 0.4500, 147.0000,  5, 0.4167,  2, 108.0494, 1, 0,  1.219,  0.501,  331.648
127, 2, 0.3000, 192.0000, 11, 0.4408, 10, 261.2139, 1, 1,  0.135,  0.134,  332.932
128, 3, 0.4500, 147.0000, 11, 0.6612,  3, 116.6933, 1, 0,  0.302,  0.264,  334.511
129, 1, 0.1500, 251.0000,  6, 0.1500,  9, 316.1877, 0, 1,  1.866,  0.355,  337.754
130, 3, 0.4500, 147.0000,  7, 0.4860,  6, 147.0000, 0, 1,  1.331,  1.430,  341.529
131, 2, 0.3000, 192.0000,  5, 0.2778,  2, 141.1257, 1, 0,  0.298,  0.204,  343.054
132, 1, 0.1500, 251.0000, 11, 0.2204,  9, 316.1877, 1, 1,  0.631,  0.197,  344.896
133, 1, 0.1500, 251.0000,  8, 0.1750, 11, 368.8013, 1, 1,  0.031,  0.229,  346.177
134, 1, 0.1500, 251.0000,  5, 0.1389,  1, 170.8264, 0, 0,  0.059,  0.265,  347.514
135, 2, 0.3000, 192.0000,  1, 0.2042,  8, 223.9488, 0, 1,  0.664,  0.373,  349.573
136, 1, 0.1500, 251.0000,  2, 0.1103,  8, 292.7664, 1, 1,  1.215,  0.585,  352.390
137, 2, 0.3000, 192.0000,  4, 0.2572,  3, 152.4158, 1, 0,  0.938,  0.265,  354.619
138, 1, 0.1500, 251.0000,  8, 0.1750, 10, 341.4827, 1, 1,  0.665,  0.207,  356.507
139, 2, 0.3000, 192.0000,  4, 0.2572, 11, 282.1110, 0, 1,  0.468,  0.330,  358.331
140, 2, 0.3000, 192.0000,  7, 0.3240,  3, 152.4158, 0, 0,  0.046,  0.130,  359.532
141, 1, 0.1500, 251.0000,  3, 0.1191,  7, 271.0800, 1, 0,  1.050,  1.771,  363.373
142, 3, 0.4500, 147.0000, 10, 0.6122,  9, 185.1777, 1, 1,  2.112,  0.917,  367.418
143, 1, 0.1500, 251.0000,  4, 0.1286, 11, 368.8013, 1, 1,  2.015,  0.363,  370.814
144, 1, 0.1500, 251.0000,  2, 0.1103, 11, 368.8013, 1, 1,  0.076,  0.346,  372.247
145, 1, 0.1500, 251.0000,  7, 0.1620,  3, 199.2519, 1, 0,  0.242,  0.274,  373.777
146, 2, 0.3000, 192.0000, 10, 0.4081, 10, 261.2139, 1, 1,  0.905,  0.251,  375.955
147, 2, 0.3000, 192.0000,  5, 0.2778,  1, 130.6720, 1, 0,  0.073,  0.316,  377.367
148, 1, 0.1500, 251.0000,  3, 0.1191, 10, 341.4827, 1, 1,  0.972,  0.389,  379.740
149, 2, 0.3000, 192.0000,  3, 0.2381,  6, 192.0000, 0, 1,  1.036,  1.223,  383.025
150, 3, 0.4500, 147.0000,  6, 0.4500,  4, 126.0288, 0, 0,  0.449,  0.117,  384.621
151, 1, 0.1500, 251.0000,  6, 0.1500, 11, 368.8013, 1, 1,  1.216,  0.352,  387.205
152, 3, 0.4500, 147.0000,  1, 0.3063,  9, 185.1777, 0, 1,  1.182,  0.429,  389.831
153, 2, 0.3000, 192.0000,  4, 0.2572, 10, 261.2139, 0, 1,  0.103,  0.249,  391.201
154, 3, 0.4500, 147.0000,  8, 0.5249, 10, 199.9919, 1, 1,  0.383,  0.196,  392.798
155, 2, 0.3000, 192.0000,  2, 0.2205, 10, 261.2139, 1, 1,  0.836,  0.288,  394.940
156, 1, 0.1500, 251.0000,  2, 0.1103,  1, 170.8264, 1, 0,  0.741,  0.167,  396.869
157, 1, 0.1500, 251.0000,  1, 0.1021,  5, 232.4074, 0, 0,  0.219,  0.166,  398.268
158, 3, 0.4500, 147.0000,  2, 0.3308,  8, 171.4608, 1, 1,  1.870,  0.267,  401.419
159, 3, 0.4500, 147.0000,  7, 0.4860,  1, 100.0457, 1, 0,  0.121,  0.172,  402.729
160, 3, 0.4500, 147.0000, 10, 0.6122,  4, 126.0288, 1, 0,  0.050,  0.178,  403.981
161, 3, 0.4500, 147.0000,  6, 0.4500,  5, 136.1111, 0, 0,  0.100,  0.387,  405.489
162, 1, 0.1500, 251.0000,  4, 0.1286,  9, 316.1877, 1, 1,  1.488,  0.499,  408.505
163, 2, 0.3000, 192.0000,  4, 0.2572,  4, 164.6091, 0, 0,  0.882,  0.273,  410.677
