
%
% subject = 'ak'; condition = 'bright'; version='physical';
% time = '04-Apr-2022 10:33:53';
%
% trial, refk, refr, refi, testrk, testr, testik, testi, refleft, choosetest, stimt, rt, totaltime
%

240, 1, 0.1500, 251.0000,  1, 0.1021,  7, 271.0800, 0, 1,  1.221,  0.239,  571.851
241, 2, 0.3000, 192.0000, 11, 0.4408,  6, 192.0000, 0, 1,  1.788,  0.796,  575.457
242, 3, 0.4500, 147.0000, 10, 0.6122,  6, 147.0000, 1, 1,  0.685,  0.723,  577.882
243, 3, 0.4500, 147.0000,  8, 0.5249,  8, 171.4608, 1, 1,  0.055,  0.109,  579.067
244, 2, 0.3000, 192.0000,  8, 0.3499,  3, 152.4158, 0, 0,  0.372,  0.274,  580.732
245, 1, 0.1500, 251.0000,  4, 0.1286,  5, 232.4074, 1, 0,  0.905,  0.828,  583.489
246, 3, 0.4500, 147.0000, 10, 0.6122,  1, 100.0457, 1, 0,  2.004,  0.002,  586.513
247, 1, 0.1500, 251.0000,  7, 0.1620,  6, 251.0000, 0, 1,  1.729,  2.344,  591.602
248, 2, 0.3000, 192.0000,  6, 0.3000, 11, 282.1110, 1, 1,  0.639,  0.434,  593.695
249, 1, 0.1500, 251.0000,  5, 0.1389,  2, 184.4925, 0, 0,  0.789,  1.275,  596.783
250, 1, 0.1500, 251.0000, 11, 0.2204,  8, 292.7664, 0, 1,  0.407,  0.281,  598.489
251, 2, 0.3000, 192.0000,  7, 0.3240,  8, 223.9488, 1, 1,  0.699,  0.318,  601.325
252, 2, 0.3000, 192.0000,  1, 0.2042,  7, 207.3600, 1, 0,  0.268,  2.460,  605.072
253, 1, 0.1500, 251.0000,  4, 0.1286, 10, 341.4827, 0, 1,  0.914,  0.191,  607.203
254, 3, 0.4500, 147.0000,  5, 0.4167,  4, 126.0288, 0, 0,  1.342,  0.351,  609.909
255, 3, 0.4500, 147.0000,  9, 0.5669,  2, 108.0494, 0, 0,  0.078,  0.173,  611.181
256, 3, 0.4500, 147.0000, 10, 0.6122, 11, 215.9912, 0, 1,  0.061,  0.419,  612.678
257, 2, 0.3000, 192.0000,  3, 0.2381,  1, 130.6720, 0, 0,  0.961,  0.949,  615.608
258, 2, 0.3000, 192.0000, 10, 0.4081,  4, 164.6091, 0, 0,  0.276,  3.341,  620.250
259, 3, 0.4500, 147.0000,  4, 0.3858,  3, 116.6933, 0, 0,  0.142,  0.623,  622.032
260, 1, 0.1500, 251.0000,  5, 0.1389,  6, 251.0000, 1, 0,  1.360,  0.745,  625.154
261, 2, 0.3000, 192.0000,  9, 0.3779, 11, 282.1110, 1, 1,  1.083,  0.213,  627.476
262, 1, 0.1500, 251.0000, 11, 0.2204, 10, 341.4827, 0, 1,  0.967,  0.251,  629.711
263, 3, 0.4500, 147.0000,  5, 0.4167,  8, 171.4608, 1, 1,  1.081,  0.212,  632.021
264, 3, 0.4500, 147.0000,  7, 0.4860,  8, 171.4608, 1, 1,  0.064,  0.370,  633.479
265, 2, 0.3000, 192.0000,  5, 0.2778,  3, 152.4158, 1, 0,  0.364,  0.252,  635.112
266, 1, 0.1500, 251.0000,  1, 0.1021,  9, 316.1877, 1, 1,  1.228,  0.385,  637.746
267, 2, 0.3000, 192.0000,  1, 0.2042,  5, 177.7778, 0, 0,  1.245,  0.686,  640.695
268, 3, 0.4500, 147.0000,  5, 0.4167,  3, 116.6933, 1, 0,  0.696,  0.418,  642.830
269, 1, 0.1500, 251.0000,  2, 0.1103, 10, 341.4827, 1, 1,  1.612,  0.564,  646.024
270, 1, 0.1500, 251.0000,  1, 0.1021,  2, 184.4925, 0, 0,  0.220,  0.915,  648.175
271, 1, 0.1500, 251.0000, 11, 0.2204,  7, 271.0800, 1, 0,  0.218,  1.828,  651.237
272, 2, 0.3000, 192.0000,  8, 0.3499, 10, 261.2139, 0, 1,  0.799,  0.436,  653.496
273, 2, 0.3000, 192.0000,  8, 0.3499,  6, 192.0000, 1, 1,  0.050,  0.377,  654.937
274, 1, 0.1500, 251.0000,  7, 0.1620,  2, 184.4925, 1, 0,  0.747,  0.388,  657.098
275, 2, 0.3000, 192.0000,  8, 0.3499,  9, 241.8647, 0, 1,  0.847,  0.387,  659.348
276, 3, 0.4500, 147.0000,  8, 0.5249,  2, 108.0494, 0, 0,  0.247,  0.302,  660.913
277, 1, 0.1500, 251.0000, 11, 0.2204,  6, 251.0000, 1, 1,  1.431,  1.405,  664.765
278, 1, 0.1500, 251.0000,  6, 0.1500,  3, 199.2519, 0, 0,  0.231,  0.381,  666.391
279, 3, 0.4500, 147.0000,  3, 0.3572,  9, 185.1777, 0, 1,  1.207,  0.244,  668.854
280, 3, 0.4500, 147.0000, 11, 0.6612,  5, 136.1111, 0, 0,  0.587,  0.149,  670.612
281, 1, 0.1500, 251.0000,  9, 0.1890, 10, 341.4827, 0, 1,  1.432,  0.238,  673.298
282, 1, 0.1500, 251.0000,  8, 0.1750,  5, 232.4074, 0, 0,  0.048,  0.278,  674.638
283, 3, 0.4500, 147.0000,  5, 0.4167,  9, 185.1777, 0, 1,  1.200,  0.258,  677.118
284, 3, 0.4500, 147.0000,  5, 0.4167,  1, 100.0457, 1, 0,  0.066,  0.286,  678.496
285, 2, 0.3000, 192.0000,  8, 0.3499,  7, 207.3600, 1, 1,  0.150,  1.500,  681.161
286, 1, 0.1500, 251.0000,  8, 0.1750,  6, 251.0000, 0, 1,  0.833,  1.331,  684.346
287, 2, 0.3000, 192.0000, 10, 0.4081,  6, 192.0000, 1, 0,  1.000,  0.009,  686.370
288, 2, 0.3000, 192.0000,  4, 0.2572,  6, 192.0000, 1, 1,  0.180,  1.159,  688.820
289, 1, 0.1500, 251.0000, 10, 0.2041,  2, 184.4925, 1, 0,  0.623,  0.265,  690.730
290, 1, 0.1500, 251.0000,  1, 0.1021,  4, 215.1920, 1, 0,  0.767,  1.156,  693.670
291, 1, 0.1500, 251.0000, 11, 0.2204,  1, 170.8264, 1, 0,  0.821,  0.174,  695.689
292, 3, 0.4500, 147.0000,  7, 0.4860,  2, 108.0494, 1, 0,  1.203,  0.706,  698.618
293, 2, 0.3000, 192.0000,  3, 0.2381,  5, 177.7778, 1, 1,  0.569,  0.325,  700.536
294, 2, 0.3000, 192.0000,  7, 0.3240, 10, 261.2139, 1, 1,  0.052,  0.293,  701.908
295, 1, 0.1500, 251.0000,  3, 0.1191,  2, 184.4925, 1, 0,  1.132,  0.533,  704.594
296, 1, 0.1500, 251.0000,  6, 0.1500,  1, 170.8264, 0, 0,  0.053,  0.146,  705.811
297, 3, 0.4500, 147.0000,  7, 0.4860, 11, 215.9912, 0, 1,  1.336,  0.065,  708.226
298, 3, 0.4500, 147.0000,  7, 0.4860,  7, 158.7600, 1, 1,  0.069,  0.031,  709.342
299, 1, 0.1500, 251.0000,  4, 0.1286,  2, 184.4925, 0, 0,  1.448,  0.212,  712.027
300, 2, 0.3000, 192.0000,  4, 0.2572,  8, 223.9488, 1, 1,  0.917,  0.962,  714.925
301, 3, 0.4500, 147.0000,  3, 0.3572,  7, 158.7600, 0, 0,  0.323,  1.920,  718.183
302, 3, 0.4500, 147.0000,  3, 0.3572,  2, 108.0494, 1, 0,  0.055,  0.168,  719.431
303, 3, 0.4500, 147.0000,  9, 0.5669,  5, 136.1111, 0, 0,  0.054,  0.347,  720.863
304, 3, 0.4500, 147.0000, 11, 0.6612,  6, 147.0000, 1, 0,  0.238,  0.481,  722.593
305, 1, 0.1500, 251.0000,  4, 0.1286,  3, 199.2519, 0, 0,  1.853,  0.159,  725.622
306, 1, 0.1500, 251.0000, 10, 0.2041, 10, 341.4827, 1, 1,  0.122,  0.750,  727.512
307, 1, 0.1500, 251.0000,  6, 0.1500,  4, 215.1920, 1, 0,  0.131,  0.461,  729.123
308, 2, 0.3000, 192.0000,  5, 0.2778,  7, 207.3600, 0, 0,  0.620,  0.316,  731.079
309, 3, 0.4500, 147.0000,  1, 0.3063,  3, 116.6933, 0, 0,  0.110,  0.303,  732.516
310, 1, 0.1500, 251.0000,  2, 0.1103,  9, 316.1877, 0, 1,  1.228,  0.453,  735.217
311, 2, 0.3000, 192.0000,  7, 0.3240,  6, 192.0000, 0, 1,  1.226,  0.557,  738.019
312, 1, 0.1500, 251.0000, 10, 0.2041,  6, 251.0000, 1, 1,  0.724,  0.958,  740.720
313, 2, 0.3000, 192.0000,  4, 0.2572,  7, 207.3600, 1, 0,  0.623,  0.632,  742.994
314, 1, 0.1500, 251.0000,  5, 0.1389, 11, 368.8013, 0, 1,  0.757,  0.354,  745.117
315, 2, 0.3000, 192.0000,  5, 0.2778,  5, 177.7778, 0, 0,  0.672,  0.511,  747.324
316, 1, 0.1500, 251.0000,  9, 0.1890,  9, 316.1877, 0, 1,  0.623,  0.258,  749.224
317, 2, 0.3000, 192.0000,  8, 0.3499,  8, 223.9488, 1, 1,  0.822,  0.353,  751.420
318, 2, 0.3000, 192.0000, 10, 0.4081, 11, 282.1110, 1, 1,  0.071,  0.096,  752.609
319, 1, 0.1500, 251.0000,  7, 0.1620,  8, 292.7664, 0, 1,  1.038,  0.312,  754.975
320, 1, 0.1500, 251.0000,  1, 0.1021,  6, 251.0000, 0, 1,  0.325,  0.591,  756.904
321, 1, 0.1500, 251.0000,  4, 0.1286,  7, 271.0800, 0, 1,  0.040,  0.193,  758.156
322, 3, 0.4500, 147.0000,  4, 0.3858,  9, 185.1777, 0, 1,  1.245,  0.328,  760.742
323, 1, 0.1500, 251.0000, 10, 0.2041,  5, 232.4074, 1, 1,  0.957,  1.504,  764.220
324, 3, 0.4500, 147.0000,  8, 0.5249,  6, 147.0000, 0, 0,  1.475,  2.130,  768.843
325, 1, 0.1500, 251.0000,  3, 0.1191,  1, 170.8264, 0, 0,  1.798,  0.124,  771.792
326, 2, 0.3000, 192.0000,  3, 0.2381,  8, 223.9488, 0, 1,  0.702,  0.346,  773.859
327, 3, 0.4500, 147.0000,  3, 0.3572,  1, 100.0457, 0, 0,  0.133,  0.806,  775.819
328, 1, 0.1500, 251.0000,  7, 0.1620, 11, 368.8013, 1, 1,  1.082,  1.415,  779.329
329, 1, 0.1500, 251.0000, 10, 0.2041,  4, 215.1920, 0, 0,  0.113,  3.028,  783.493
330, 2, 0.3000, 192.0000,  7, 0.3240, 11, 282.1110, 1, 1,  0.744,  0.276,  785.540
331, 3, 0.4500, 147.0000,  5, 0.4167,  5, 136.1111, 0, 0,  0.061,  1.725,  788.339
332, 1, 0.1500, 251.0000,  9, 0.1890,  6, 251.0000, 1, 1,  1.111,  1.803,  792.269
333, 3, 0.4500, 147.0000,  7, 0.4860, 10, 199.9919, 0, 1,  1.325,  0.649,  795.263
334, 3, 0.4500, 147.0000,  9, 0.5669,  1, 100.0457, 0, 0,  0.034,  0.258,  796.576
335, 3, 0.4500, 147.0000,  3, 0.3572,  6, 147.0000, 0, 0,  0.317,  1.481,  799.395
336, 2, 0.3000, 192.0000, 10, 0.4081,  5, 177.7778, 0, 1,  0.099,  1.068,  801.582
337, 3, 0.4500, 147.0000,  1, 0.3063,  7, 158.7600, 0, 1,  0.114,  1.092,  803.806
338, 3, 0.4500, 147.0000,  1, 0.3063, 11, 215.9912, 1, 1,  0.146,  1.069,  806.033
339, 2, 0.3000, 192.0000,  8, 0.3499,  5, 177.7778, 1, 0,  0.162,  2.986,  810.201
340, 2, 0.3000, 192.0000, 11, 0.4408,  5, 177.7778, 1, 1,  0.046,  0.969,  812.233
341, 3, 0.4500, 147.0000,  6, 0.4500,  7, 158.7600, 1, 1,  0.164,  0.556,  813.974
342, 2, 0.3000, 192.0000, 10, 0.4081,  8, 223.9488, 1, 1,  0.168,  0.309,  815.476
343, 2, 0.3000, 192.0000,  2, 0.2205, 11, 282.1110, 1, 1,  0.417,  0.305,  817.223
344, 1, 0.1500, 251.0000,  7, 0.1620,  4, 215.1920, 0, 1,  0.520,  0.758,  819.524
345, 2, 0.3000, 192.0000,  6, 0.3000,  5, 177.7778, 0, 0,  0.665,  1.846,  823.061
346, 3, 0.4500, 147.0000,  3, 0.3572,  5, 136.1111, 1, 0,  0.131,  2.564,  826.779
347, 3, 0.4500, 147.0000,  3, 0.3572,  8, 171.4608, 0, 1,  0.065,  0.480,  828.346
348, 3, 0.4500, 147.0000, 11, 0.6612,  4, 126.0288, 0, 0,  0.548,  0.222,  830.141
349, 1, 0.1500, 251.0000, 10, 0.2041,  1, 170.8264, 1, 0,  1.758,  0.951,  833.868
350, 3, 0.4500, 147.0000,  2, 0.3308, 11, 215.9912, 1, 1,  1.228,  0.196,  836.315
351, 1, 0.1500, 251.0000,  1, 0.1021,  8, 292.7664, 1, 0,  1.432,  2.201,  840.966
352, 1, 0.1500, 251.0000,  8, 0.1750,  2, 184.4925, 0, 0,  0.233,  0.858,  843.073
353, 1, 0.1500, 251.0000, 11, 0.2204,  4, 215.1920, 0, 1,  0.066,  0.275,  844.441
354, 2, 0.3000, 192.0000,  9, 0.3779,  2, 141.1257, 0, 0,  0.649,  0.545,  846.665
355, 2, 0.3000, 192.0000,  9, 0.3779,  6, 192.0000, 1, 0,  0.035,  0.352,  848.070
356, 2, 0.3000, 192.0000,  1, 0.2042,  6, 192.0000, 0, 0,  0.134,  1.987,  851.206
357, 2, 0.3000, 192.0000,  3, 0.2381,  3, 152.4158, 1, 0,  0.097,  0.208,  852.524
358, 2, 0.3000, 192.0000,  1, 0.2042, 10, 261.2139, 0, 1,  0.117,  0.691,  854.361
359, 3, 0.4500, 147.0000, 11, 0.6612,  9, 185.1777, 0, 1,  1.284,  0.404,  857.071
360, 3, 0.4500, 147.0000,  7, 0.4860,  4, 126.0288, 0, 0,  0.126,  0.256,  858.472

% finish = '04-Apr-2022 10:48:11';
%


%
% subject = 'ak'; condition = 'bright'; version='physical';
% time = '04-Apr-2022 11:01:09';
%
% trial, refk, refr, refi, testrk, testr, testik, testi, refleft, choosetest, stimt, rt, totaltime
%

  1, 1, 0.1500, 251.0000,  2, 0.1103,  7, 271.0800, 1, 0,  0.506,  1.230,    2.756
  2, 2, 0.3000, 192.0000,  4, 0.2572,  6, 192.0000, 1, 0,  0.941,  3.471,    8.195
  3, 3, 0.4500, 147.0000, 10, 0.6122,  1, 100.0457, 0, 0,  0.656,  1.036,   10.909
  4, 2, 0.3000, 192.0000,  3, 0.2381,  9, 241.8647, 1, 1,  0.638,  1.985,   14.558
  5, 1, 0.1500, 251.0000, 11, 0.2204,  2, 184.4925, 0, 0,  0.340,  1.373,   17.296
  6, 2, 0.3000, 192.0000,  3, 0.2381,  5, 177.7778, 1, 1,  0.304,  1.683,   20.311
  7, 3, 0.4500, 147.0000,  4, 0.3858,  8, 171.4608, 0, 1,  0.440,  0.349,   22.122
  8, 1, 0.1500, 251.0000,  6, 0.1500,  5, 232.4074, 1, 1,  1.183,  0.949,   25.273
  9, 1, 0.1500, 251.0000,  8, 0.1750,  5, 232.4074, 1, 1,  0.030,  0.281,   26.605
 10, 2, 0.3000, 192.0000, 11, 0.4408,  7, 207.3600, 1, 1,  0.894,  0.440,   28.968
 11, 2, 0.3000, 192.0000,  7, 0.3240,  4, 164.6091, 1, 0,  0.042,  0.429,   30.453
 12, 3, 0.4500, 147.0000, 11, 0.6612,  3, 116.6933, 0, 0,  0.807,  1.003,   33.277
 13, 3, 0.4500, 147.0000, 10, 0.6122, 11, 215.9912, 1, 1,  0.225,  0.517,   35.041
 14, 2, 0.3000, 192.0000,  6, 0.3000,  8, 223.9488, 0, 1,  0.656,  0.621,   37.345
 15, 3, 0.4500, 147.0000, 10, 0.6122,  2, 108.0494, 0, 0,  0.659,  1.661,   40.685
 16, 2, 0.3000, 192.0000,  7, 0.3240,  8, 223.9488, 0, 1,  0.575,  0.654,   42.933
 17, 1, 0.1500, 251.0000, 11, 0.2204, 10, 341.4827, 1, 1,  0.725,  0.512,   45.190
 18, 1, 0.1500, 251.0000,  4, 0.1286, 10, 341.4827, 0, 1,  0.217,  0.433,   46.858
 19, 1, 0.1500, 251.0000,  6, 0.1500,  1, 170.8264, 0, 0,  0.048,  0.366,   48.291
 20, 1, 0.1500, 251.0000, 10, 0.2041,  8, 292.7664, 1, 1,  0.061,  1.032,   50.409
 21, 1, 0.1500, 251.0000,  3, 0.1191,  1, 170.8264, 1, 0,  0.497,  0.405,   52.330
 22, 3, 0.4500, 147.0000,  6, 0.4500,  3, 116.6933, 1, 0,  1.579,  0.333,   55.260
 23, 3, 0.4500, 147.0000,  1, 0.3063,  9, 185.1777, 1, 1,  0.095,  0.324,   56.699
 24, 3, 0.4500, 147.0000,  9, 0.5669, 10, 199.9919, 1, 1,  0.511,  0.168,   58.393
 25, 3, 0.4500, 147.0000,  7, 0.4860,  3, 116.6933, 1, 0,  0.062,  0.049,   59.527
 26, 3, 0.4500, 147.0000,  2, 0.3308, 11, 215.9912, 0, 1,  0.075,  0.130,   60.755
 27, 1, 0.1500, 251.0000, 11, 0.2204,  7, 271.0800, 0, 1,  1.206,  0.414,   63.389
 28, 2, 0.3000, 192.0000,  4, 0.2572, 10, 261.2139, 0, 1,  0.817,  0.325,   65.553
 29, 2, 0.3000, 192.0000,  3, 0.2381,  7, 207.3600, 0, 0,  0.055,  0.030,   66.655
 30, 2, 0.3000, 192.0000,  2, 0.2205,  7, 207.3600, 0, 0,  0.151,  0.292,   68.120
 31, 2, 0.3000, 192.0000,  5, 0.2778, 11, 282.1110, 0, 1,  0.032,  0.336,   69.511
 32, 1, 0.1500, 251.0000, 11, 0.2204,  6, 251.0000, 1, 1,  0.550,  2.394,   73.470
 33, 2, 0.3000, 192.0000,  1, 0.2042,  1, 130.6720, 0, 0,  0.081,  0.335,   74.911
 34, 3, 0.4500, 147.0000,  8, 0.5249,  2, 108.0494, 1, 0,  0.646,  0.235,   76.810
 35, 1, 0.1500, 251.0000, 11, 0.2204,  8, 292.7664, 0, 1,  1.447,  0.328,   79.605
 36, 2, 0.3000, 192.0000,  9, 0.3779,  1, 130.6720, 1, 0,  0.947,  0.197,   81.774
 37, 3, 0.4500, 147.0000, 10, 0.6122,  7, 158.7600, 0, 0,  0.680,  0.218,   83.694
 38, 3, 0.4500, 147.0000,  5, 0.4167,  4, 126.0288, 0, 0,  0.214,  0.970,   85.896
 39, 1, 0.1500, 251.0000,  7, 0.1620, 10, 341.4827, 0, 1,  1.214,  0.388,   88.514
 40, 2, 0.3000, 192.0000, 10, 0.4081,  2, 141.1257, 1, 0,  1.048,  0.953,   91.530
 41, 1, 0.1500, 251.0000,  1, 0.1021,  9, 316.1877, 0, 1,  1.233,  0.193,   93.969
 42, 1, 0.1500, 251.0000,  3, 0.1191,  4, 215.1920, 1, 0,  0.180,  0.320,   95.500
 43, 2, 0.3000, 192.0000,  7, 0.3240,  9, 241.8647, 1, 1,  1.101,  0.998,   98.625
 44, 3, 0.4500, 147.0000,  1, 0.3063, 10, 199.9919, 1, 1,  0.183,  0.164,   99.993
 45, 2, 0.3000, 192.0000, 10, 0.4081, 11, 282.1110, 0, 1,  0.066,  0.002,  101.077
 46, 3, 0.4500, 147.0000, 10, 0.6122,  6, 147.0000, 0, 1,  0.233,  0.651,  102.978
 47, 3, 0.4500, 147.0000,  8, 0.5249,  6, 147.0000, 1, 1,  0.131,  0.144,  104.270
 48, 1, 0.1500, 251.0000,  1, 0.1021, 11, 368.8013, 1, 1,  2.142,  0.002,  107.429
 49, 2, 0.3000, 192.0000, 10, 0.4081,  7, 207.3600, 0, 1,  1.281,  0.356,  110.082
 50, 1, 0.1500, 251.0000,  5, 0.1389, 11, 368.8013, 0, 1,  1.173,  0.201,  112.481
 51, 2, 0.3000, 192.0000,  1, 0.2042,  5, 177.7778, 1, 0,  0.771,  0.190,  114.467
 52, 3, 0.4500, 147.0000,  3, 0.3572,  6, 147.0000, 0, 0,  0.686,  0.305,  116.482
 53, 3, 0.4500, 147.0000,  4, 0.3858, 10, 199.9919, 1, 1,  0.066,  0.074,  117.651
 54, 1, 0.1500, 251.0000,  5, 0.1389,  5, 232.4074, 0, 1,  1.302,  2.216,  122.193
 55, 3, 0.4500, 147.0000,  6, 0.4500,  5, 136.1111, 0, 0,  1.318,  1.716,  126.243
 56, 2, 0.3000, 192.0000,  1, 0.2042, 11, 282.1110, 0, 1,  0.669,  0.002,  127.931
 57, 1, 0.1500, 251.0000, 10, 0.2041,  7, 271.0800, 1, 1,  0.173,  0.947,  130.074
 58, 3, 0.4500, 147.0000,  5, 0.4167,  5, 136.1111, 0, 0,  1.082,  0.488,  132.715
 59, 2, 0.3000, 192.0000,  5, 0.2778,  2, 141.1257, 0, 0,  0.142,  0.166,  134.043
 60, 1, 0.1500, 251.0000,  9, 0.1890,  7, 271.0800, 1, 0,  0.516,  0.245,  135.825
 61, 2, 0.3000, 192.0000,  1, 0.2042,  6, 192.0000, 0, 0,  0.289,  0.333,  137.464
 62, 2, 0.3000, 192.0000,  3, 0.2381,  2, 141.1257, 1, 0,  0.090,  0.255,  138.832
 63, 1, 0.1500, 251.0000,  6, 0.1500, 11, 368.8013, 0, 1,  0.617,  0.167,  140.644
 64, 2, 0.3000, 192.0000,  9, 0.3779,  3, 152.4158, 0, 0,  0.969,  0.096,  142.725
 65, 1, 0.1500, 251.0000,  1, 0.1021,  8, 292.7664, 0, 1,  1.536,  0.162,  145.440
 66, 1, 0.1500, 251.0000,  6, 0.1500,  8, 292.7664, 1, 1,  0.220,  0.145,  146.822
 67, 1, 0.1500, 251.0000,  2, 0.1103,  3, 199.2519, 0, 0,  0.086,  0.197,  148.127
 68, 3, 0.4500, 147.0000,  6, 0.4500,  4, 126.0288, 1, 0,  1.728,  0.488,  151.366
 69, 2, 0.3000, 192.0000, 11, 0.4408, 11, 282.1110, 1, 1,  0.145,  0.002,  152.529
 70, 3, 0.4500, 147.0000,  4, 0.3858,  9, 185.1777, 0, 1,  0.028,  0.118,  153.700
 71, 1, 0.1500, 251.0000, 10, 0.2041,  1, 170.8264, 0, 0,  1.208,  0.423,  156.351
 72, 3, 0.4500, 147.0000,  1, 0.3063,  4, 126.0288, 0, 0,  1.158,  0.466,  158.994
 73, 1, 0.1500, 251.0000,  8, 0.1750,  3, 199.2519, 1, 0,  0.955,  0.387,  161.364
 74, 3, 0.4500, 147.0000,  1, 0.3063,  5, 136.1111, 1, 0,  1.189,  0.659,  164.237
 75, 1, 0.1500, 251.0000,  8, 0.1750,  1, 170.8264, 1, 0,  1.173,  0.420,  166.849
 76, 2, 0.3000, 192.0000,  9, 0.3779,  6, 192.0000, 1, 1,  0.706,  0.639,  169.218
 77, 2, 0.3000, 192.0000, 11, 0.4408,  4, 164.6091, 1, 0,  0.039,  0.044,  170.325
 78, 2, 0.3000, 192.0000,  5, 0.2778,  6, 192.0000, 0, 0,  0.091,  0.865,  172.293
 79, 3, 0.4500, 147.0000,  7, 0.4860, 11, 215.9912, 1, 1,  0.266,  0.002,  173.579
 80, 1, 0.1500, 251.0000, 11, 0.2204,  9, 316.1877, 1, 1,  1.179,  0.172,  175.953
 81, 1, 0.1500, 251.0000,  8, 0.1750,  9, 316.1877, 0, 1,  0.212,  0.167,  177.345
 82, 3, 0.4500, 147.0000,  3, 0.3572,  7, 158.7600, 0, 0,  1.212,  0.557,  180.137
 83, 1, 0.1500, 251.0000, 11, 0.2204, 11, 368.8013, 0, 1,  1.175,  0.787,  183.116
 84, 2, 0.3000, 192.0000, 11, 0.4408,  3, 152.4158, 1, 0,  1.142,  0.354,  185.632
 85, 1, 0.1500, 251.0000,  4, 0.1286,  6, 251.0000, 1, 1,  1.423,  0.175,  188.256
 86, 1, 0.1500, 251.0000,  8, 0.1750,  6, 251.0000, 0, 1,  0.057,  0.101,  189.431
 87, 2, 0.3000, 192.0000,  2, 0.2205,  4, 164.6091, 0, 0,  0.631,  0.212,  191.291
 88, 2, 0.3000, 192.0000,  3, 0.2381, 10, 261.2139, 1, 1,  0.065,  0.334,  192.715
 89, 3, 0.4500, 147.0000, 11, 0.6612,  7, 158.7600, 0, 1,  0.799,  0.238,  194.767
 90, 1, 0.1500, 251.0000,  6, 0.1500,  2, 184.4925, 0, 0,  1.847,  0.198,  197.827
 91, 1, 0.1500, 251.0000,  3, 0.1191, 10, 341.4827, 1, 1,  0.029,  0.088,  198.967
 92, 2, 0.3000, 192.0000,  2, 0.2205,  5, 177.7778, 1, 0,  0.642,  1.430,  202.062
 93, 3, 0.4500, 147.0000,  9, 0.5669,  8, 171.4608, 1, 1,  0.944,  0.695,  204.724
 94, 3, 0.4500, 147.0000,  4, 0.3858,  3, 116.6933, 1, 0,  0.192,  0.059,  205.990
 95, 2, 0.3000, 192.0000,  2, 0.2205,  6, 192.0000, 0, 1,  0.574,  0.813,  208.392
 96, 1, 0.1500, 251.0000,  2, 0.1103,  9, 316.1877, 1, 1,  1.171,  0.324,  210.903
 97, 2, 0.3000, 192.0000,  3, 0.2381,  6, 192.0000, 1, 0,  0.858,  0.224,  213.003
 98, 3, 0.4500, 147.0000,  7, 0.4860,  9, 185.1777, 1, 1,  0.559,  0.382,  214.965
 99, 3, 0.4500, 147.0000,  9, 0.5669,  3, 116.6933, 1, 0,  0.051,  0.072,  216.102
100, 1, 0.1500, 251.0000,  2, 0.1103,  8, 292.7664, 1, 1,  2.161,  0.783,  220.063
101, 3, 0.4500, 147.0000,  5, 0.4167,  9, 185.1777, 1, 1,  1.598,  0.002,  222.681
102, 3, 0.4500, 147.0000,  3, 0.3572, 11, 215.9912, 1, 1,  0.030,  0.029,  223.759
103, 3, 0.4500, 147.0000,  1, 0.3063, 11, 215.9912, 0, 1,  0.095,  1.634,  226.514
104, 3, 0.4500, 147.0000, 11, 0.6612,  2, 108.0494, 1, 0,  0.246,  0.322,  228.103
105, 3, 0.4500, 147.0000,  9, 0.5669,  4, 126.0288, 0, 0,  0.261,  2.028,  231.409
106, 2, 0.3000, 192.0000,  3, 0.2381,  3, 152.4158, 1, 0,  0.557,  0.285,  233.269
107, 1, 0.1500, 251.0000,  5, 0.1389, 10, 341.4827, 0, 1,  0.744,  0.251,  235.281
108, 3, 0.4500, 147.0000,  5, 0.4167, 10, 199.9919, 1, 1,  1.380,  0.175,  237.854
109, 3, 0.4500, 147.0000,  9, 0.5669,  5, 136.1111, 1, 0,  0.101,  0.073,  239.057
110, 3, 0.4500, 147.0000,  3, 0.3572,  5, 136.1111, 0, 0,  0.050,  0.090,  240.219
111, 2, 0.3000, 192.0000,  8, 0.3499,  4, 164.6091, 0, 0,  0.148,  0.291,  241.670
112, 2, 0.3000, 192.0000,  9, 0.3779,  2, 141.1257, 1, 0,  0.044,  0.145,  242.875
113, 3, 0.4500, 147.0000,  1, 0.3063,  1, 100.0457, 1, 0,  0.133,  0.093,  244.123
114, 1, 0.1500, 251.0000,  4, 0.1286,  3, 199.2519, 1, 0,  1.180,  0.164,  246.495
115, 1, 0.1500, 251.0000,  3, 0.1191,  8, 292.7664, 1, 1,  0.064,  0.043,  247.627
116, 1, 0.1500, 251.0000,  3, 0.1191,  2, 184.4925, 0, 0,  0.030,  0.226,  248.907
117, 1, 0.1500, 251.0000,  4, 0.1286,  9, 316.1877, 1, 1,  0.060,  0.635,  250.616
118, 3, 0.4500, 147.0000,  2, 0.3308,  1, 100.0457, 0, 0,  1.396,  0.002,  253.032
119, 2, 0.3000, 192.0000,  1, 0.2042,  3, 152.4158, 0, 0,  0.232,  0.116,  254.400
120, 1, 0.1500, 251.0000,  8, 0.1750,  7, 271.0800, 1, 0,  0.411,  0.444,  256.275
121, 1, 0.1500, 251.0000,  5, 0.1389,  8, 292.7664, 1, 1,  0.040,  0.066,  257.397
122, 3, 0.4500, 147.0000,  5, 0.4167,  2, 108.0494, 0, 0,  1.265,  0.229,  259.910
123, 1, 0.1500, 251.0000,  2, 0.1103,  4, 215.1920, 0, 0,  1.603,  0.452,  262.983
